temperature,ph_level,moisture_content,total_plate_count,coliform_count,storage_time_days,water_activity,food_type,packaging_type,supplier_id,safety_status
14.49,5.24,65.04,28558.32,3150.79,730.0,0.857,meat,canned,SUP004,unsafe
-16.23,4.92,50.84,12973.56,377.3,,0.6518,processed,frozen,SUP018,safe
2.48,5.65,89.16,10081.11,1599.65,13.0,0.8891,produce,refrigerated,SUP005,safe
10.6,6.33,83.47,13723.64,1240.17,78.0,0.8368,produce,canned,SUP016,unsafe
3.33,5.79,79.46,68468.95,659.48,6.0,0.8769,dairy,refrigerated,SUP014,safe
9.23,6.29,81.34,7210.62,,57.0,0.9592,dairy,vacuum,SUP019,unsafe
3.99,6.54,73.3,7188.95,89.07,,0.7432,dairy,refrigerated,SUP014,safe
6.58,6.53,18.78,9420.01,473.8,14.0,,grain,refrigerated,SUP009,safe
10.37,4.77,89.48,10638.6,781.96,65.0,0.8641,produce,vacuum,SUP006,unsafe
12.24,4.45,86.92,1942.42,166.42,148.0,0.9016,produce,canned,SUP017,unsafe
5.44,,73.9,3671.41,236.65,3.0,0.8414,dairy,vacuum,SUP019,safe
,3.79,38.4,2306.89,258.19,23.0,,processed,refrigerated,SUP012,safe
-9.67,7.03,,307.57,10.97,27.0,0.5422,grain,frozen,SUP004,safe
-19.02,5.68,63.73,4701.57,433.17,83.0,0.8402,meat,frozen,SUP016,safe
7.16,5.26,91.11,15784.88,843.63,,0.8634,dairy,vacuum,SUP011,unsafe
9.0,,86.63,17337.62,1634.08,11.0,0.8213,dairy,aerated,SUP004,unsafe
8.48,6.1,42.25,1096.2,150.39,89.0,0.6481,meat,vacuum,SUP017,safe
11.77,6.57,97.92,22313.03,404.4,275.0,0.9427,seafood,canned,SUP008,unsafe
-16.52,7.02,86.84,2440.67,79.27,116.0,0.7957,seafood,frozen,SUP014,safe
1.97,6.39,62.32,5351.78,345.19,26.0,0.6893,meat,refrigerated,SUP002,safe
2.28,5.34,89.72,6249.04,256.52,11.0,0.8959,produce,refrigerated,SUP011,safe
16.45,5.75,73.51,15359.99,631.05,315.0,0.7455,dairy,canned,SUP011,unsafe
15.46,5.56,88.26,,589.73,17.0,0.823,meat,ambient,SUP006,unsafe
2.13,6.93,60.92,16788.08,3342.14,6.0,0.6856,meat,refrigerated,SUP014,safe
13.63,8.35,74.77,1646.58,54.29,19.0,,seafood,ambient,SUP010,safe
-10.98,4.38,5.0,856.95,40.47,81.0,0.3643,grain,frozen,SUP008,safe
12.81,7.37,85.8,29728.77,1326.71,2.0,0.7605,dairy,aerated,SUP007,unsafe
5.02,7.2,93.7,3217.5,,227.0,0.9136,seafood,vacuum,SUP008,unsafe
3.11,6.24,98.0,1939.1,163.26,5.0,0.963,produce,refrigerated,SUP008,safe
7.36,6.06,81.01,16462.64,1112.31,13.0,0.822,dairy,vacuum,SUP002,safe
